STATISTIC,Statistic Label,Type of Development,C02074V02506,Functional Category,CountyName,Region,TLIST(Q1),Quarter,UNIT,VALUE
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20164,2016Q4,000 Sq Metres,1134
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20171,2017Q1,000 Sq Metres,1182
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20172,2017Q2,000 Sq Metres,1228
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20173,2017Q3,000 Sq Metres,1208
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20174,2017Q4,000 Sq Metres,1380
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20091,2009Q1,000 Sq Metres,1092
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20092,2009Q2,000 Sq Metres,796
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20093,2009Q3,000 Sq Metres,632
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20094,2009Q4,000 Sq Metres,536
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20101,2010Q1,000 Sq Metres,388
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20102,2010Q2,000 Sq Metres,411
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20103,2010Q3,000 Sq Metres,370
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20104,2010Q4,000 Sq Metres,270
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20111,2011Q1,000 Sq Metres,247
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20112,2011Q2,000 Sq Metres,280
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20113,2011Q3,000 Sq Metres,198
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20114,2011Q4,000 Sq Metres,182
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20121,2012Q1,000 Sq Metres,204
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20122,2012Q2,000 Sq Metres,188
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20123,2012Q3,000 Sq Metres,216
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20124,2012Q4,000 Sq Metres,175
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20131,2013Q1,000 Sq Metres,243
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20132,2013Q2,000 Sq Metres,131
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20133,2013Q3,000 Sq Metres,161
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20134,2013Q4,000 Sq Metres,129
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20141,2014Q1,000 Sq Metres,126
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20142,2014Q2,000 Sq Metres,147
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20143,2014Q3,000 Sq Metres,149
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20144,2014Q4,000 Sq Metres,145
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20151,2015Q1,000 Sq Metres,159
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20152,2015Q2,000 Sq Metres,160
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20153,2015Q3,000 Sq Metres,266
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20154,2015Q4,000 Sq Metres,201
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20161,2016Q1,000 Sq Metres,208
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20162,2016Q2,000 Sq Metres,254
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20163,2016Q3,000 Sq Metres,338
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20164,2016Q4,000 Sq Metres,233
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20171,2017Q1,000 Sq Metres,249
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20172,2017Q2,000 Sq Metres,307
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20173,2017Q3,000 Sq Metres,365
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cavan,"Border, Midland and Western",20174,2017Q4,000 Sq Metres,267
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20091,2009Q1,000 Sq Metres,470
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20092,2009Q2,000 Sq Metres,419
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20093,2009Q3,000 Sq Metres,340
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20094,2009Q4,000 Sq Metres,256
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20101,2010Q1,000 Sq Metres,226
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20102,2010Q2,000 Sq Metres,235
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20103,2010Q3,000 Sq Metres,195
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20104,2010Q4,000 Sq Metres,132
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20111,2011Q1,000 Sq Metres,115
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20112,2011Q2,000 Sq Metres,140
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20113,2011Q3,000 Sq Metres,89
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20114,2011Q4,000 Sq Metres,78
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20121,2012Q1,000 Sq Metres,95
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20122,2012Q2,000 Sq Metres,95
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20123,2012Q3,000 Sq Metres,121
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20124,2012Q4,000 Sq Metres,73
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20131,2013Q1,000 Sq Metres,86
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20132,2013Q2,000 Sq Metres,54
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20133,2013Q3,000 Sq Metres,78
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20134,2013Q4,000 Sq Metres,71
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20141,2014Q1,000 Sq Metres,45
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20142,2014Q2,000 Sq Metres,55
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20143,2014Q3,000 Sq Metres,71
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20144,2014Q4,000 Sq Metres,53
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20151,2015Q1,000 Sq Metres,71
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20152,2015Q2,000 Sq Metres,89
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20153,2015Q3,000 Sq Metres,148
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20154,2015Q4,000 Sq Metres,100
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20161,2016Q1,000 Sq Metres,99
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20162,2016Q2,000 Sq Metres,112
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20163,2016Q3,000 Sq Metres,166
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20164,2016Q4,000 Sq Metres,104
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20171,2017Q1,000 Sq Metres,107
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20172,2017Q2,000 Sq Metres,136
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20173,2017Q3,000 Sq Metres,159
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Sligo,Border,20174,2017Q4,000 Sq Metres,107
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20091,2009Q1,000 Sq Metres,365
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20092,2009Q2,000 Sq Metres,128
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20093,2009Q3,000 Sq Metres,107
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20094,2009Q4,000 Sq Metres,114
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20101,2010Q1,000 Sq Metres,50
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20102,2010Q2,000 Sq Metres,44
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20103,2010Q3,000 Sq Metres,55
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20104,2010Q4,000 Sq Metres,37
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20111,2011Q1,000 Sq Metres,65
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20112,2011Q2,000 Sq Metres,57
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20113,2011Q3,000 Sq Metres,41
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20114,2011Q4,000 Sq Metres,43
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20121,2012Q1,000 Sq Metres,39
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20122,2012Q2,000 Sq Metres,36
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20123,2012Q3,000 Sq Metres,41
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20124,2012Q4,000 Sq Metres,50
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20131,2013Q1,000 Sq Metres,113
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20132,2013Q2,000 Sq Metres,28
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20133,2013Q3,000 Sq Metres,31
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20134,2013Q4,000 Sq Metres,22
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20141,2014Q1,000 Sq Metres,30
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20142,2014Q2,000 Sq Metres,35
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20143,2014Q3,000 Sq Metres,19
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20144,2014Q4,000 Sq Metres,56
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20151,2015Q1,000 Sq Metres,22
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20152,2015Q2,000 Sq Metres,28
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20153,2015Q3,000 Sq Metres,58
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20154,2015Q4,000 Sq Metres,41
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20161,2016Q1,000 Sq Metres,42
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20162,2016Q2,000 Sq Metres,46
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20163,2016Q3,000 Sq Metres,78
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20164,2016Q4,000 Sq Metres,49
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20171,2017Q1,000 Sq Metres,54
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20172,2017Q2,000 Sq Metres,65
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20173,2017Q3,000 Sq Metres,85
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Midland,20174,2017Q4,000 Sq Metres,60
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20091,2009Q1,000 Sq Metres,257
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20092,2009Q2,000 Sq Metres,249
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20093,2009Q3,000 Sq Metres,185
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20094,2009Q4,000 Sq Metres,166
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20101,2010Q1,000 Sq Metres,111
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20102,2010Q2,000 Sq Metres,133
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20103,2010Q3,000 Sq Metres,120
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20104,2010Q4,000 Sq Metres,100
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20111,2011Q1,000 Sq Metres,66
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20112,2011Q2,000 Sq Metres,82
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20113,2011Q3,000 Sq Metres,69
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20114,2011Q4,000 Sq Metres,61
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20121,2012Q1,000 Sq Metres,70
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20122,2012Q2,000 Sq Metres,56
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20123,2012Q3,000 Sq Metres,53
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20124,2012Q4,000 Sq Metres,52
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20131,2013Q1,000 Sq Metres,45
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20132,2013Q2,000 Sq Metres,49
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20133,2013Q3,000 Sq Metres,52
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20134,2013Q4,000 Sq Metres,36
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20141,2014Q1,000 Sq Metres,51
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20142,2014Q2,000 Sq Metres,57
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20143,2014Q3,000 Sq Metres,59
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20144,2014Q4,000 Sq Metres,36
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20151,2015Q1,000 Sq Metres,65
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20152,2015Q2,000 Sq Metres,43
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20153,2015Q3,000 Sq Metres,60
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20154,2015Q4,000 Sq Metres,60
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20161,2016Q1,000 Sq Metres,67
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20162,2016Q2,000 Sq Metres,97
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20163,2016Q3,000 Sq Metres,93
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20164,2016Q4,000 Sq Metres,80
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20171,2017Q1,000 Sq Metres,88
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20172,2017Q2,000 Sq Metres,106
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20173,2017Q3,000 Sq Metres,121
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Galway,West,20174,2017Q4,000 Sq Metres,100
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20091,2009Q1,000 Sq Metres,1868
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20092,2009Q2,000 Sq Metres,1829
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20093,2009Q3,000 Sq Metres,1556
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20094,2009Q4,000 Sq Metres,683
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20101,2010Q1,000 Sq Metres,759
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20102,2010Q2,000 Sq Metres,917
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Kilkenny,Southern and Eastern,20103,2010Q3,000 Sq Metres,771
